Crime Books and Storage,,,,,,,
,,,,,,,
,Author (Surname),Author (First Name),Title,Detective,Series,Year,Box
,Rankin,Ian,Hide and Seek,Rebus,,,F
,Rankin,Ian,Knots and Crosses,Rebus,,,F
,Rankin,Ian,Let It Bleed*2,Rebus,,,S
,Rankin,Ian,Mortal Causes*1,Rebus,,,S
,Rankin,Ian,Resurrection Men,Rebus,,,D
,Rankin,Ian,Strip Jack*1,Rebus,,,S
,Rankin,Ian,The Black Book*1,Rebus,,,S
,Rankin,Ian,The Falls,Rebus,,,F
,Rankin,Ian,The Hanging Garden*2,Rebus,,,S
,Rankin,Ian,The Naming of the Dead,Rebus,,,T
,Rankin,Ian,Tooth and Nail,Rebus,,,F
,Rankin (Jack Harvey),Ian,Bleeding Hearts,,,,T
,Reichs,Kathy,Deja Dead,Tempe Brennan,1,1997,F
,Reichs,Kathy,Death Du Jour,Tempe Brennan,2,1999,F
,Reichs,Kathy,Deadly Decisions,Tempe Brennan,3,2000,F
,Reichs,Kathy,Fatal Voyage,Tempe Brennan,4,2001,F
,Reichs,Kathy,Grave Secrets,Tempe Brennan,5,2002,F
,Reichs,Kathy,Bare Bones,Tempe Brennan,6,2003,F
,Reichs,Kathy,Monday Mourning,Tempe Brennan,7,2004,S
,Reichs,Kathy,Cross Bones,Tempe Brennan,8,2005,T
,Reichs,Kathy,Break No Bones,Tempe Brennan,9,2006,U
,Reichs,Kathy,Bones and Ashes,Tempe Brennan,10,2007,U
,Reichs,Kathy,Devil's Bones,Tempe Brennan,11,2008,U
,Reichs,Kathy,206 Bones,Tempe Brennan,12,2009,I
,Reichs,Kathy,Spider Bones,Tempe Brennan,13,2010,P
,Reichs,Kathy,Flash and Bones,Tempe Brennan,14,2011,
,Reichs,Kathy,Bones Are For Ever,Tempe Brennan,15,2012,
,Reichs,Kathy,Bones of the Lost,Tempe Brennan,16,2014,
,Reichs,Kathy,Bones Never Lie,Tempe Brennan,17,2014,
,Rickman,Phil,The Bones of Avalon,Dr John Dee,1,,
,Rickman,Phil,The Heresy of Dr Dee,Dr John Dee,2,,
,Rickman,Phil,The Wine of Angels,Merrily Watkins,1,1998,P
,Rickman,Phil,Midwinter of the Spirit*2,Merrily Watkins,2,1999,S
,Rickman,Phil,A Crown of Lights*2,Merrily Watkins,3,2001,S
,Rickman,Phil,The Magus of Hay,Merrily Watkins,12,2013,
,Rickman,Phil,Crybbe*1,,,1993,R
,Rickman,Phil,The Man in the Moss*1,,,1994,R
,Robb,Candace,The King's Bishop,,,,G
,Robb,Candace,The Nun's Tale,,,,G
,Robb,Candace,The Riddle of St Leonards,,,,G
,Roberts,Barrie,Sherlock Holmes: The Man From Hell,Sherlock Holmes,,,Q
,Roberts,David,Bones of the Buried,,,,F
,Roberts,David,Sweet Poison,,,,F
,Roberts,John Maddox,Murder in Tarsis,Fantasy Mysteries,2,,*
,Robertson,Imogen,Anatomy of Murder,Westerman & Crowther,2,,
,Robertson,Imogen,Island of Bones,Westerman & Crowther,3,,
,Robertson,Imogen,Circle of Shadows,Westerman & Crowther,4,,
,Robinson,Peter,Gallows View*1,Banks,1,,E
,Robinson,Peter,A Dedicated Man*1,Banks,2,,E
,Robinson,Peter,A Necessary End,Banks,3,,O
,Robinson,Peter,The Hanging Valley*1,Banks,4,,O
,Robinson,Peter,Past Reason Hated,Banks,5,,O
,Robinson,Peter,Wednesday's Child,Banks,6,,O
,Robinson,Peter,Dry Bones That Dream,Banks,7,,O
,Robinson,Peter,Innocent Graves*1,Banks,8,,O
,Robinson,Peter,Dead Right,Banks,9,,O
,Robinson,Peter,In a Dry Season,Banks,10,,O
,Robinson,Peter,Cold is the Grave,Banks,11,,O
,Robinson,Peter,Aftermath,Banks,12,,O
,Robinson,Peter,The Summer That Never Was,Banks,13,,O
,Robinson,Peter,Playing With Fire,Banks,14,,O
,Robinson,Peter,Strange Affair,Banks,15,,O
,Robinson,Peter,Piece of My Heart,Banks,16,,C
,Robinson,Peter,Friend of the Devil,Banks,17,,C
,Robinson,Peter,All the Colours of Darkness,Banks,18,,U
,Robinson,Peter,Bad Boy,Banks,19,,Q
,Robinson,Peter,Abbattoir Blues,Banks,22,2015,
,Robinson,Peter,The Price of Love,Banks,,,I
,Rosenberg,Nancy Taylor,First Offence,,,,K
,Rosenberg,Nancy Taylor,Interest of Justice,,,,K
,Rosenberg,Nancy Taylor,Mitigating Cicumstances,,,,K
,Rubenfield,Jed,The Interpretation of Murder,,,,U
,RuIz Zafon,Carlos,The Shadow of the Wind,,,,T
,Runcie,James,Sidney Chambers and The Shadow of Death,Sidney Chambers,1,,
,Runcie,James,Sidney Chambers and the Perils of the Night,Sidney Chambers,2,,
,Ryan,Robert,The Dead Can Wait,Dr Watson,,2014,
,Sansom,C.J.,Dark Fire,Matthew Shardlake,,,S
,Sansom,C.J.,Dissolution,Matthew Shardlake,,,D
,Sansom,C.J.,Hearstone,Matthew Shardlake,,,Q
,Sansom,C.J.,Revelation,Matthew Shardlake,,,T
,Sansom,C.J.,Sovereign,Matthew Shardlake,,,C
,Sayers,Dorothy L,Five Red Herrings,,,,R
,Saylor,Steven,The Seven Wonders,Gordianus,,2013,
,Saylor,Steven,A Gladiator Dies Only Once,Gordianus,,,A
,Saylor,Steven,A Murder on the Appian Way,Gordianus,,,H
,Saylor,Steven,Arms of Nemesis,Gordianus,,,H
,Saylor,Steven,Catalina's Riddle,Gordianus,,,H
,Saylor,Steven,Roma,Gordianus,,,T
,Saylor,Steven,Roman Blood,Gordianus,,,H
,Saylor,Steven,Rubicon,Gordianus,,,H
,Saylor,Steven,The House of the Vestals,Gordianus,,,H
,Saylor,Steven,The Judgement of Caesar,Gordianus,,,R
,Saylor,Steven,The Triumph of Caesar,Gordianus,,,T
,Saylor,Steven,The Venus Throws,Gordianus,,,H
,Saylor,Steven,Raiders of the Nile,Gordianus,,,
,Sedley,Kate,Death and the Chapman,,,,F
,Sedley,Kate,The Hanged Man,,,,F
,Sedley,Kate,The Plymouth Cloak,,,,F
,Sedley,Kate,The Saint John's Fern,,,,F
,Sedley,Kate,The Wicked Winter,,,,F
,Shaw,Catherine,The Three-Body Problem,Mrs Vanessa Weatherburn,1,,*
,Shaw,Catherine,Flowers Stained With Moonlight,Mrs Vanessa Weatherburn,2,,*
,Shaw,Catherine,The Library Paradox,Mrs Vanessa Weatherburn,3,,*
,Shaw,Catherine,The Riddle of the River,Mrs Vanessa Weatherburn,4,,
,Shaw,Stanley,Sherlock Holmes at the 1902 Fifth Test,Sherlock Holmes,,,K
,Smith,Evelyn E.,Miss Melville Returns*1,Miss Melville,,,G
,Smith,Evelyn E.,Miss Melville Rides A Tiger*1,Miss Melville,,,G
,Somoza,Jose Carlos,The Athenian Murders,,,,E
,Stallwood,Veronica,Death and the Oxford Box,,,,F
,Stallwood,Veronica,Oxford Blue,,,,J
,Stashower,Daniel,The Floating Lady Murder,Harry Houdini,1,,
,Stashower,Daniel,The Dime Museum Murders,Harry Houdini,2,,
,Summerscale,Kate,The Suspicions of Mr Whischer,,,,T
,Symons,Julian,A Three Pipe Problem,,,,F
,Symons,Julian,The Blackheath Poisonings,,,,K
,Tallis,Frank,Mortal Mischief,,,,T
,Tallis,Frank,Vienna Blood,,,,T
,Taylor,Alison G.,Simeon's Bride,,,,G
,Taylor,Andrew,Bleeding Heart Square,,,,U
,Taylor,Andrew,Requiem for an Angel,,,,R
,Taylor,Andrew,The American Boy,,,,E
,Thomson,June,The Secret Archives of Sherlock Holmes,Sherlock Holmes,,,
,Thomson,June,The Secret Journals of Sherlock Holmes,Sherlock Holmes,,,
,Thomson,June,The Secret Notebooks of Sherlock Holmes,Sherlock Holmes,,,
,Thomson,Lesley,The Detective's Daughter,,,,
,Tmepleton,Aline,Evil for Evil,,,,
,Tope,Rebecca,A Cotswold Killing,,,,B
,Tope,Rebecca,A Cotswold Mystery,,,,B
,Tope,Rebecca,A Cotswold Ordeal,,,,B
,Tope,Rebecca,Blood in the Cotswolds,,,,B
,Tope,Rebecca,Death in the Cotswolds,,,,B
,Tope,Rebecca,Slaughter in the Cotswolds,,,,M
,Tremayne,Peter,Absolution by Murder,Sister Fidelma,1,,F
,Tremayne,Peter,Shroud for a Bishop,Sister Fidelma,2,,F
,Tremayne,Peter,Suffer the Little Children,Sister Fidelma,3,,F
,Tremayne,Peter,The Subtle Serpent,Sister Fidelma,4,,F
,Tremayne,Peter,The Spider's Web,Sister Fidelma,5,,F
,Tremayne,Peter,Valley of the Shadow,Sister Fidelma,6,,F
,Tremayne,Peter,Hemlock at Vespers (1),Sister Fidelma,9,,F
,Tremayne,Peter,Hemlock at Vespers (2),Sister Fidelma,9,,F
,Tremayne,Peter,Smoke in the Wind,Sister Fidelma,11,,D
,Tremayne,Peter,The Haunted Abbot,Sister Fidelma,12,,D
,Tremayne,Peter,Badger's Moon,Sister Fidelma,13,,D
,Tremayne,Peter,The Leper's Bell,Sister Fidelma,14,,S
,Tremayne,Peter,Whispers of the Dead,Sister Fidelma,15,,T
,Tremayne,Peter,Master of Souls,Sister Fidelma,16,,C
,Tremayne,Peter,A Prayer for the Damned,Sister Fidelma,17,,T
,Tremayne,Peter,An Ensuing Evil,Sister Fidelma,,,T
,Tremayne,Peter,Dancing With Demons,Sister Fidlema,18,,P
,Tyler,L C,Crooked Herring,Elthelred Tressider,,2014,
,Tyler,L C,Ten Little Herrings,Ethelred Tressider,,2009,
,Upfield,Arthur,Boney and the Kelly Gang,Boney,,,C
,Upfield,Arthur,Boney and the Mouse,Boney,,,C
,Upfield,Arthur,Death of a Lake,Boney,,,A
,Upfield,Arthur,The Mystery of Swordfish Reef,Boney,,,C
,Uppfield,Arthur,Bony and the Kelly Gang,Boney,,,O
,Uppfield,Arthur,Bony and the White Savage,Boney,,,O
,Uppfield,Arthur,The Mountains Have a Secret,Boney,,,O
,Uppfield,Arthur,The Widow's of Broome,Boney,,,G
,Upson,Nicola,An Expert in Murder,Josephine Tey,1,,
,Upson,Nicola,Angel With Two Faces,Josephine Tey,2,,
,Upson,Nicola,Fear in the Sunlight,Josephine Tey,4,2012,
,Upson,Nicola,The Death ofLucy Kyte,Josephine Tey,5,2013,
,Vaughan-Hughes,Pip,Painted in Blood,,,,U
,Vaughan-Hughes,Pip,Relics,,,,R
,Vaughan-Hughes,Pip,The Vault of Bones,,,,C
,Verdict of Thirteen,,13 Short Crime Stories,,,,K
,Vichi,Marco,Death in August,Inspector Bordelli,1,,Q
,Vichi,Marco,Death and the Olive Grove,Inspector Bordelli,2,,
,Vichi,Marco,Death in Sardinia,Inspector Bordelli,3,,
,Vichi,Marco,Death in Florence,Inspector Bordelli,4,,
,Waddel,Dan,The Blood Detective,,,,U
,Walker,Martin,The Crowded Grave,,,,
,Walker,Mary Willis,Zero at the Bone,,,,G
,Walters,Minette,Fox Evil,,,,D
,Walters,Minette,The Dark Room,,,,G
,Walters,Minette,The Echo,,,,I
,Walters,Minette,The Scold's Bridal,,,,O
,Walters,Minette,The Sculptress,,,,O
,Walters,Minette,The Shape of Snakes,,,,D
,Weaver,Ashley,Murder at Brightwell,Amory Ames,,2015,
,Weeks,Lee,Dead of Winter,Ebony Willis,,2012,
,Whitehead,Barbara,Playing God,,,,F
,Whitehead,Barbara,The Girl with the Red Suspenders,,,,F
,Williams,David,"Copper, Gold and Treasure",,,,L
,Williams,David,Murder for Treasure,,,,L
,Williams,David,Murder in Advent,,,,L
,Williams,David,Treasure by Degrees,,,,L
,Williams,David,Unhloy Writ,,,,L
,Williams,David,Wedding Treasure,,,,L
,Williamson,Chet,Murder in Cormyr,Fantasy Mysteries,1,1996,
,Wilson,Robert,A Small Death in Lisbon,,,,T
,Winspear,Jacqueline,A Lesson in Secrets,Maisie Dobbs,,,
,Winspear,Jacqueline,Birds of a Feather,Maisie Dobbs,,,
,Winspear,Jacqueline,Elegy for Eddie,Maisie Dobbs,,,
,Winspear,Jacqueline,Maisie Dobbs,Maisie Dobbs,,,
,Winspear,Jacqueline,Messenger of Truth,Maisie Dobbs,,,
,Winspear,Jacqueline,The Mapping of Love and Death,Maisie Dobbs,,,
,Winspear,Jaqueline,Leaving Everythin Most Loved,Maisie Dobbs,,,
,Wishart,David,Sejanus,,,,G
