Crime Books and Storage,,,,,,,
,,,,,,,
,Author (Surname),Author (First Name),Title,Detective,Series,Year,Box
,Childs,Laura,Eggs in Purgatory,Crackleberry Club,1,,T
,Childs,Laura,Eggs Benedict Arnold,Crackleberry Club,2,,P
,Childs,Laura,Bedeviled Eggs,Crackleberry Club,3,,P
,Childs,Laura,Stake & Eggs,Crackleberry Club,4,,
,Childs,Laura,Agony of the Leaves,Theodosia Browning,13,,
,Childs,Laura,Blood Orange Brewing,Theodosia Browning,,,R
,Childs,Laura,Chamomile Mourning,Theodosia Browning,,,S
,Childs,Laura,Death By Darjeeling,Theodosia Browning,,,C
,Childs,Laura,Dragonwell Dead,Theodosia Browning,,,T
,Childs,Laura,Gubpowder Green,Theodosia Browning,,,C
,Childs,Laura,Oolong Dead,Theodosia Browning,,,P
,Childs,Laura,Scones and Bones,Theodosia Browning,,,
,Childs,Laura,Shades of Earl Grey,Theodosia Browning,,,C
,Childs,Laura,Sweet Tea Revenge,Theodosia Browning,,,C
,Childs,Laura,The English Breakfast Murder,Theodosia Browning,,,C
,Childs,Laura,The Jasmine Moon Murder,Theodosia Browning,,,S
,Childs,Laura,The Silver Needle Murder,Theodosia Browning,,,T
,Childs,Laura,The Teaberry Strangler,Theodosia Browning,,,P
,Chisholm,P F,A Famine of Horses,Sir Robert Carey,1,,*
,Chisholm,P F,A Season of Knives,Sir Robert Carey,2,,*
,Chisholm,P F,A Surfeit of Guns,Sir Robert Carey,3,,*
,Chisholm,P F,A Plague of Angels,Sir Robert Carey,4,,*
,Chisholm,P F,A Murder of Crows,Sir Robert Carey,5,,
,Chisholm,P F,An Air of Treason,Sir Robert Carey,6,,*
,Christie,Agatha,Death Comes as The End,,,,I
,Christie,Agatha,Endless Night,,,,S
,Christie,Agatha,Nemesis,,,,S
,Christie,Agatha,The ABC Murders*1,,,,K
,Christie,Agatha,The Body in the Library*1,,,,K
,Clark,Cassandra,The Law of Angels,Abbess of Meaux,1,,
,Clark,Cassandra,A Parliament of Spies,Abbess of Meaux,2,,
,Clements,Rory,Martyr,John Shakespeare,,,M
,Clements,Rory,Prince,John Shakespeare,,,
,Clements,Rory,Revenger,John Shakespeare,,,P
,Clements,Rory,The Heretics,John Shakespeare,,,
,Clements,Rory,Traitor,John Shakespeare,,,
,Clements,Rory,Traitor,John Shakespeare,,,
,Clynes,Michael,The Relic Murders,,,,G
,Conan Dolye,Sir Arthur,A Study in Scarlet,Sherlock Holmes,,,J
,Conan Dolye,Sir Arthur,His Last Bow,Sherlock Holmes,,,J
,Conan Dolye,Sir Arthur,The Adventures of Sherlock Holmes,Sherlock Holmes,,,J
,Conan Dolye,Sir Arthur,The Case Book of Sherlock Holmes,Sherlock Holmes,,,J
,Conan Dolye,Sir Arthur,The Further Adventures of Sherlock Holmes,Sherlock Holmes,,,J
,Conan Dolye,Sir Arthur,The Hound of the Baskervilles,Sherlock Holmes,,,J
,Conan Dolye,Sir Arthur,The Memoirs of Sherlock Holmes,Sherlock Holmes,,,J
,Conan Dolye,Sir Arthur,The Return of Sherlock Holmes,Sherlock Holmes,,,J
,Conan Dolye,Sir Arthur,The Sign of Four,Sherlock Holmes,,,J
,Conan Dolye,Sir Arthur,The Valley of Fear,Sherlock Holmes,,,J
,Connolly,John,Every Dead Thing,,,,E
,Conrad,Hy,Almost Perfect Murders,,,,I
,Cookman,Leslie,Murder in Steeple Martin,,,,R
,Cooper,Glen,Library of the Daed,,,,T
,Cooper,Glenn,Book of Souls,,,,M
,Cooper,Glenn,The Tenth Chamber,,,,P
,Cornwell,Patricia,The Bone Bed,Scarpetta,19,,
